@relation intel

@attribute id numeric
@attribute scenario numeric
@attribute who {a,b,c,d,e,f,g}
@attribute what {a,b,c,d,e,f,g,h,i,k,l,n,o,p,q,s,t,u,v,w,x,y,z,zb}
@attribute persistence {once,continuous}
@attribute reason {a,b,c,d,e,f}
@attribute where {a,b,c,d}
@attribute notify {yes,no}
@attribute nalways {once,always,blank}
@attribute notify_combined {notify_me_always,notify_me_once,do_not_notify_me}
@attribute five.one {notify_me_always,other_two}
@attribute allow {yes,no}
@attribute aalways {always,once}
@attribute allow_combined {yesalways,yesonce,noalways,noonce}
@attribute seven.one {yesalways,others}
@attribute score_allow numeric
@attribute comfort numeric
@attribute risk numeric
@attribute approp numeric
@attribute cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
10,22470,e,y,continuous,d,b,no,blank,do_not_notify_me,other_two,no,always,noalways,others,0,2,3,2,cluster2
10,22480,f,z,once,e,c,no,blank,do_not_notify_me,other_two,no,always,noalways,others,0,3,4,3,cluster2
10,22490,e,k,once,c,a,no,blank,do_not_notify_me,other_two,no,always,noalways,others,0,2,2,1,cluster2
10,22500,b,h,continuous,f,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,3,3,cluster2
10,22510,g,a,once,e,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,3,3,3,cluster2
10,22520,a,u,continuous,f,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster2
10,22530,f,l,continuous,d,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,3,4,4,cluster2
10,22540,d,d,continuous,b,d,yes,always,notify_me_always,notify_me_always,yes,always,yesalways,yesalways,3,4,5,5,cluster2
11,18350,e,d,once,b,a,yes,once,notify_me_once,other_two,no,always,noalways,others,0,3,4,3,cluster4
11,18360,d,i,continuous,a,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,3,2,2,cluster4
11,18370,f,y,once,d,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,3,2,cluster4
11,18380,c,h,once,f,d,yes,always,notify_me_always,notify_me_always,yes,once,yesonce,others,2,5,4,4,cluster4
11,18390,a,f,once,e,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster4
11,18400,e,x,continuous,c,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,2,1,cluster4
11,18410,d,w,once,b,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,5,3,3,cluster4
11,18420,b,g,continuous,f,c,yes,always,notify_me_always,notify_me_always,yes,always,yesalways,yesalways,3,5,4,4,cluster4
11,18430,f,k,continuous,c,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster4
11,18440,a,t,continuous,f,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster4
11,18450,b,u,once,f,d,yes,always,notify_me_always,notify_me_always,yes,always,yesalways,yesalways,3,1,2,2,cluster4
